Image Path,Image Name,DateTimeOriginal,Latitude,Longitude
20240819/Cam4/FLIR_20240819_023602_225.jpg,FLIR_20240819_023602_225.jpg,2024:08:19 14:36:02,,
20240819/Cam4/FLIR_20240819_102835_471.jpg,FLIR_20240819_102835_471.jpg,2024:08:19 10:28:35,,
20240819/Cam4/FLIR_20240819_024917_186.jpg,FLIR_20240819_024917_186.jpg,2024:08:19 14:49:17,,
20240819/Cam4/FLIR_20240819_103531_210.jpg,FLIR_20240819_103531_210.jpg,2024:08:19 10:35:31,,
20240819/Cam4/FLIR_20240819_103627_249.jpg,FLIR_20240819_103627_249.jpg,2024:08:19 10:36:27,,
20240819/Cam4/FLIR_20240819_102625_242.jpg,FLIR_20240819_102625_242.jpg,2024:08:19 10:26:25,,
20240819/Cam4/FLIR_20240819_103957_483.jpg,FLIR_20240819_103957_483.jpg,2024:08:19 10:39:57,,
20240819/Cam4/FLIR_20240819_102141_883.jpg,FLIR_20240819_102141_883.jpg,2024:08:19 10:21:41,,
20240819/Cam4/FLIR_20240819_032701_540.jpg,FLIR_20240819_032701_540.jpg,2024:08:19 15:27:01,,
20240819/Cam4/FLIR_20240819_031557_386.jpg,FLIR_20240819_031557_386.jpg,2024:08:19 15:15:57,,
20240819/Cam4/FLIR_20240819_024036_989.jpg,FLIR_20240819_024036_989.jpg,2024:08:19 14:40:36,,
20240819/Cam4/FLIR_20240819_102433_682.jpg,FLIR_20240819_102433_682.jpg,2024:08:19 10:24:33,,
20240819/Cam4/FLIR_20240819_102911_466.jpg,FLIR_20240819_102911_466.jpg,2024:08:19 10:29:11,,
20240819/Cam4/FLIR_20240819_101737_105.jpg,FLIR_20240819_101737_105.jpg,2024:08:19 10:17:37,,
20240819/Cam4/FLIR_20240819_103115_989.jpg,FLIR_20240819_103115_989.jpg,2024:08:19 10:31:15,,
20240819/Cam4/FLIR_20240819_101823_945.jpg,FLIR_20240819_101823_945.jpg,2024:08:19 10:18:23,,
20240819/Cam4/FLIR_20240819_104138_744.jpg,FLIR_20240819_104138_744.jpg,2024:08:19 10:41:38,,
20240819/Cam4/FLIR_20240819_024705_489.jpg,FLIR_20240819_024705_489.jpg,2024:08:19 14:47:05,,
20240819/Cam4/FLIR_20240819_100928_898.jpg,FLIR_20240819_100928_898.jpg,2024:08:19 10:09:28,,
20240819/Cam4/FLIR_20240819_103425_782.jpg,FLIR_20240819_103425_782.jpg,2024:08:19 10:34:25,,
20240819/Cam4/FLIR_20240819_103252_207.jpg,FLIR_20240819_103252_207.jpg,2024:08:19 10:32:52,,
20240819/Cam4/FLIR_20240819_105549_409.jpg,FLIR_20240819_105549_409.jpg,2024:08:19 10:55:49,,
20240819/Cam4/FLIR_20240819_105008_179.jpg,FLIR_20240819_105008_179.jpg,2024:08:19 10:50:08,,
20240819/Cam4/FLIR_20240819_024948_988.jpg,FLIR_20240819_024948_988.jpg,2024:08:19 14:49:48,,
20240819/Cam4/FLIR_20240819_030521_382.jpg,FLIR_20240819_030521_382.jpg,2024:08:19 15:05:21,,
20240819/Cam4/FLIR_20240819_031933_923.jpg,FLIR_20240819_031933_923.jpg,2024:08:19 15:19:33,,
20240819/Cam4/FLIR_20240819_031015_569.jpg,FLIR_20240819_031015_569.jpg,2024:08:19 15:10:15,,
20240819/Cam4/FLIR_20240819_032204_092.jpg,FLIR_20240819_032204_092.jpg,2024:08:19 15:22:03,,
20240819/Cam4/FLIR_20240819_104256_295.jpg,FLIR_20240819_104256_295.jpg,2024:08:19 10:42:56,,
20240819/Cam4/FLIR_20240819_025819_636.jpg,FLIR_20240819_025819_636.jpg,2024:08:19 14:58:19,,
20240819/Cam4/FLIR_20240819_032345_213.jpg,FLIR_20240819_032345_213.jpg,2024:08:19 15:23:45,,
20240819/Cam4/FLIR_20240819_030700_024.jpg,FLIR_20240819_030700_024.jpg,2024:08:19 15:06:59,,
